# X, Y, Distanz
5.331853141217257619e-01 6.114431041810005629e-01 1.162791062179915347e-01
4.407610589481776309e-01 6.384523900333358704e-01 1.505932151289832988e-01
3.810317316549639566e-01 9.787268427004653937e-01 4.932877849642869905e-01
3.626942571091016365e-01 1.162185906640320621e-01 4.076040200767446220e-01
6.245866032372087151e-01 4.578477626533645761e-01 1.315242670365919520e-01
5.869999613407392847e-01 9.448275639579094554e-01 4.532555073355625241e-01
3.839849507409420770e-02 6.851747443026101614e-01 4.973586585929695714e-01
2.081025898625149528e-01 8.457458410053014797e-01 4.524867783896391327e-01
6.750575107996884539e-01 5.406028819720015699e-01 1.797045522846189014e-01
2.386515667521689199e-01 7.582952965033150639e-01 3.674499472810296430e-01
